,S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
1392,1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,5.67
1393,1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.98 Lakh,6.2
1394,1394,BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,5.0,,14.49
1395,1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.0
1396,1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.25
1397,1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,,43.78
1398,1398,Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,11.45
1399,1399,Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7.0,,10.5
1400,1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,7.48
1401,1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,3.1
1402,1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,2.55
1403,1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.5
1404,1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.59
1405,1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,5.45
1406,1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,6.0
1407,1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,24.82 Lakh,15.49
1408,1408,BMW 5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.8 kmpl,2497 CC,150 bhp,5.0,,12.5
1409,1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.75
1410,1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5.0,,7.85
1411,1411,Hyundai Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,,6.0
1412,1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,7.63 Lakh,4.0
1413,1413,Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.4 kmpl,2967 CC,241.4 bhp,5.0,,28.75
1414,1414,Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5.0,,2.5
1415,1415,Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,5.5
1416,1416,Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,5.0,,1.59
1417,1417,Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.22
1418,1418,Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.75
1419,1419,Hyundai Santro Xing XL,Chennai,2007,82000,Petrol,Manual,Second,0.0 kmpl,1086 CC,null bhp,5.0,,1.35
1420,1420,Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,25.0
1421,1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,2.8
1422,1422,Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5.0,,2.45
1423,1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,,6.35
1424,1424,BMW 3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.07 kmpl,1995 CC,181 bhp,5.0,,8.0
1425,1425,Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,8.25
1426,1426,Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.01 kmpl,1499 CC,110.4 bhp,5.0,,5.95
1427,1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,22.86 Lakh,19.92
1428,1428,Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,,3.15
1429,1429,Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.21 kmpl,1798 CC,189 bhp,4.0,,5.75
1430,1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7.0,,32.44
1431,1431,Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,,8.01
1432,1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,,6.48
1433,1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4.0,,0.75
1434,1434,Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,5.0
1435,1435,Mahindra XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,7.75
1436,1436,Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.6
1437,1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0 kmpl,1497 CC,121.36 bhp,5.0,11.06 Lakh,9.2
1438,1438,Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.05
1439,1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,,9.6
1440,1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,,5.5
1441,1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,9.35
1442,1442,Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.6
1443,1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.53 Lakh,3.5
1444,1444,Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.49 kmpl,1198 CC,67.04 bhp,5.0,,4.26
1445,1445,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.25
1446,1446,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.7 kmpl,1796 CC,178 bhp,5.0,,11.75
1447,1447,Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.5 kmpl,1498 CC,88.7 bhp,5.0,,3.5
1448,1448,Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,7.5
1449,1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0 kmpl,1396 CC,100 bhp,5.0,,3.25
1450,1450,Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,,4.9
1451,1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,27.0
1452,1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,,8.91
1453,1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.01 kmpl,1591 CC,121.4 bhp,5.0,,6.69
1454,1454,Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.3 kmpl,1998 CC,163.7 bhp,5.0,,6.02
1455,1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,19.39 Lakh,4.5
1456,1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,2.0
1457,1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,2.4
1458,1458,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4.0,,1.2
1459,1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,2.9
1460,1460,Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,Petrol,Manual,First,0.0 kmpl,,,,,40.88
1461,1461,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5.0,,27.0
1462,1462,Honda Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,7.5
1463,1463,Chevrolet Optra 1.6 LS,Mumbai,2004,98798,Petrol,Manual,First,14.7 kmpl,1599 CC,104 bhp,5.0,,1.5
1464,1464,Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,39.5
1465,1465,Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.39
1466,1466,Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,,12.4
1467,1467,Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,6.85
1468,1468,Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Diesel,Manual,Second,21.43 kmpl,1364 CC,138 bhp,5.0,,5.75
1469,1469,Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0 kmpl,1396 CC,69 bhp,5.0,,2.0
1470,1470,Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4.0,,0.9
1471,1471,Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,3.8
1472,1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,21.77 Lakh,16.35
1473,1473,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,7.0,,16.5
1474,1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,8.7
1475,1475,Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,6.1
1476,1476,Mini Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.8 kmpl,1998 CC,112 bhp,5.0,,21.94
1477,1477,Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0 kmpl,2987 CC,210 bhp,5.0,,22.0
1478,1478,Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.65
1479,1479,Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.27
1480,1480,Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1 kmpl,1248 CC,74 bhp,5.0,,2.48
1481,1481,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,6.0
1482,1482,Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,8.9
1483,1483,BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88 kmpl,1995 CC,184 bhp,5.0,,18.0
1484,1484,Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,Petrol,Manual,First,16.8 kmpl,1395 CC,138.02 bhp,5.0,,11.64
1485,1485,Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,8.99
1486,1486,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,5.0,,5.25
1487,1487,Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,2.95
1488,1488,Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Diesel,Manual,Second,21.02 kmpl,1248 CC,88.76 bhp,5.0,,2.65
1489,1489,Volkswagen Vento Petrol Highline,Pune,2013,57197,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,4.0
1490,1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6 kmpl,1582 CC,126.2 bhp,5.0,18.35 Lakh,12.5
1491,1491,Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,3.25
1492,1492,Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,Petrol,Manual,First,13.1 kmpl,1997 CC,141.1 bhp,5.0,,4.0
1493,1493,Mahindra XUV500 W8 2WD,Delhi,2012,75000,Diesel,Manual,Second,15.1 kmpl,2179 CC,140 bhp,7.0,,6.25
1494,1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,9.19 Lakh,5.8
1495,1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,8.09 Lakh,5.0
1496,1496,Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,Diesel,Automatic,First,12.9 kmpl,2993 CC,270.88 bhp,5.0,,58.73
1497,1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,23.25 Lakh,17.49
1498,1498,Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19.0 kmpl,998 CC,66.1 bhp,5.0,,1.95
1499,1499,Honda Accord VTi-L (AT),Mumbai,2007,80000,Petrol,Automatic,First,11.1 kmpl,2354 CC,142 bhp,5.0,,3.0
1500,1500,Hyundai i20 Asta (o),Delhi,2014,42365,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,5.5
1501,1501,Toyota Fortuner 4x2 AT,Delhi,2013,123000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,16.5
1502,1502,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Petrol,Automatic,Second,11.74 kmpl,1796 CC,186 bhp,5.0,,14.5
1503,1503,Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,,7.79
1504,1504,Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,8.27
1505,1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,Diesel,Automatic,First,12.65 kmpl,2993 CC,255 bhp,5.0,1.39 Cr,97.07
1506,1506,Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5.0,,2.15
1507,1507,Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,5.0,,3.0
1508,1508,BMW X3 xDrive20d,Coimbatore,2014,41089,Diesel,Automatic,First,16.09 kmpl,1995 CC,184 bhp,5.0,,28.79
1509,1509,Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,2011,41988,Diesel,Automatic,First,20.0 kmpl,1968 CC,138.1 bhp,5.0,,5.45
1510,1510,Maruti Swift Dzire VDI,Delhi,2013,72486,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3.95
1511,1511,Volvo V40 Cross Country D3,Pune,2013,92000,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5.0,,16.0
1512,1512,Maruti Swift Dzire ZXi,Delhi,2013,40000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,,4.25
1513,1513,Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,34.5
1514,1514,Honda Accord 2.4 AT,Mumbai,2008,125000,Petrol,Automatic,Third,11.7 kmpl,2354 CC,177.6 bhp,5.0,,2.6
1515,1515,Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,2017,29219,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,13.48
1516,1516,Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,32.1
1517,1517,Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,,6.17
1518,1518,Honda City 1.5 V MT,Kolkata,2015,32000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,5.5
1519,1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,11.52 Lakh,9.15
1520,1520,Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,4.5
1521,1521,Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,10.5
1522,1522,Honda Brio S MT,Coimbatore,2016,14821,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,5.37
1523,1523,Volkswagen Vento Petrol Trendline,Bangalore,2012,52000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,,5.45
1524,1524,Mahindra XUV500 W4,Mumbai,2016,33000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,9.25
1525,1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,13.23 Lakh,7.7
1526,1526,Skoda Yeti Ambition 4X2,Hyderabad,2012,99754,Diesel,Manual,First,17.72 kmpl,1968 CC,108.49 bhp,5.0,,7.99
1527,1527,Hyundai i10 Sportz,Chennai,2012,49000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.0
1528,1528,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,,4.0
1529,1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65 kmpl,1248 CC,88.7 bhp,5.0,10.06 Lakh,6.69
1530,1530,Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25
1531,1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.72 kmpl,1498 CC,108.4 bhp,5.0,15.34 Lakh,10.5
1532,1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,24.01 Lakh,22.55
1533,1533,Hyundai Verna 1.6 SX VTVT,Pune,2014,48000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,,5.2
1534,1534,Honda City i VTEC VX Option,Coimbatore,2019,23882,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,11.87
1535,1535,Honda City i DTEC SV,Hyderabad,2014,65000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,6.99
1536,1536,Volkswagen Vento Diesel Highline,Jaipur,2011,50000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.0
1537,1537,Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,Diesel,Automatic,First,12.19 kmpl,2967 CC,236 bhp,5.0,,44.0
1538,1538,Maruti Alto 800 LXI,Chennai,2015,21000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.79
1539,1539,Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Diesel,Manual,Second,21.12 kmpl,1248 CC,88.8 bhp,5.0,,2.9
1540,1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,2016,68000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,9.85
1541,1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7.0,,49.0
1542,1542,Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,6.0,11.39 Lakh,9.25
1543,1543,Hyundai Verna 1.6 CRDI,Mumbai,2011,74000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.3 bhp,5.0,,3.75
1544,1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.1 kmpl,1498 CC,99 bhp,5.0,9.79 Lakh,7.29
1545,1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,4.0,35 Lakh,23.5
1546,1546,Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.6
1547,1547,Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03 kmpl,1461 CC,65 bhp,5.0,9.26 Lakh,3.1
1548,1548,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,2016,38730,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,5.0,,29.98
1549,1549,Renault Duster 110PS Diesel RxZ,Kochi,2016,57390,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.73
1550,1550,Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3.5
1551,1551,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,,2.35
1552,1552,Mahindra XUV500 W10 2WD,Coimbatore,2017,64961,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,16.13
1553,1553,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,5.9
1554,1554,Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,3.9
1555,1555,Chevrolet Optra 1.6 Elite,Pune,2005,150000,Petrol,Manual,First,14.7 kmpl,1598 CC,null bhp,5.0,,1.5
1556,1556,Toyota Innova 2.5 GX 7 STR BSIV,Delhi,2012,68000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,6.95
1557,1557,Honda City i DTec SV,Delhi,2015,33000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.0
1558,1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,8.68 Lakh,7.23
1559,1559,Maruti SX4 ZDI Leather,Mumbai,2012,90000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,5.0,,3.81
1560,1560,Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.6 kmpl,1197 CC,85.8 bhp,5.0,,4.5
1561,1561,Hyundai Creta 1.6 CRDi SX,Pune,2017,38767,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.6
1562,1562,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,,48.0
1563,1563,Maruti Alto LXi BSIII,Coimbatore,2010,59136,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,2.96
1564,1564,Honda Amaze SX i-DTEC,Kolkata,2014,36000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.25
1565,1565,Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2011,95000,Diesel,Automatic,Second,18.33 kmpl,1968 CC,167.7 bhp,5.0,,8.5
